github_account,position,group,laboratory,EX1,EX2,EX3,EX4
imamuratakehiro,b4,student,toda-lab,zodiac-18,kenjiro-mk,morita-koki,kimi-research
zodiac-18,b4,student,toda-lab,kenjiro-mk,morita-koki,kimi-research,980055617
kenjiro-mk,b4,student,takeda-lab,morita-koki,kimi-research,980055617,shunsuke-iwashita
morita-koki,b4,student,takeda-lab,kimi-research,980055617,shunsuke-iwashita,rei-alpha
kimi-research,b4,student,takeda-lab,980055617,shunsuke-iwashita,rei-alpha,imamuratakehiro
980055617,b4,student,takeda-lab,shunsuke-iwashita,rei-alpha,imamuratakehiro,zodiac-18
shunsuke-iwashita,b4,student,takeda-lab,rei-alpha,imamuratakehiro,zodiac-18,kenjiro-mk
rei-alpha,b4,student,takeda-lab,imamuratakehiro,zodiac-18,kenjiro-mk,morita-koki
mraditya01,m1,reviewer,takeda-lab,Unassigned,kimi-research,Unassigned,imamuratakehiro
tahayakawa,m1,reviewer,takeda-lab,Unassigned,kenjiro-mk,rei-alpha,Unassigned
KateSawada,m1,reviewer,toda-lab,Unassigned,zodiac-18,Unassigned,980055617
ryota-takedalab,m1,reviewer,takeda-lab,Unassigned,morita-koki,Unassigned,kimi-research
sflren6741,m1,reviewer,takeda-lab,rei-alpha,Unassigned,imamuratakehiro,shunsuke-iwashita
KimSehun725,m2,reviewer,takeda-lab,kenjiro-mk,Unassigned,Unassigned,morita-koki
AtsushiMiyashita317,m2,reviewer,toda-lab,zodiac-18,rei-alpha,Unassigned,Unassigned
mrcl0224,m2,reviewer,toda-lab,morita-koki,Unassigned,980055617,Unassigned
ccnobata,m2,reviewer,takeda-lab,imamuratakehiro,Unassigned,kimi-research,rei-alpha
KazukiOkamori,m2,reviewer,takeda-lab,shunsuke-iwashita,Unassigned,morita-koki,Unassigned
SZucchini,m2,reviewer,takeda-lab,Unassigned,980055617,kenjiro-mk,Unassigned
tkmyamamoto,m2,reviewer,takeda-lab,980055617,Unassigned,shunsuke-iwashita,Unassigned
TakuyaFujimura,m2,reviewer,toda-lab,kimi-research,Unassigned,zodiac-18,Unassigned
yusuke1526,m2,reviewer,takeda-lab,Unassigned,imamuratakehiro,Unassigned,zodiac-18
Rikuhei-ynwa,m2,reviewer,takeda-lab,Unassigned,shunsuke-iwashita,Unassigned,kenjiro-mk
